State_Code,State,Cowin Key,District
,,,
AN,Andaman and Nicobar Islands,Nicobar,Nicobars
AN,Andaman and Nicobar Islands,North and Middle Andaman,North and Middle Andaman
AN,Andaman and Nicobar Islands,South Andaman,South Andaman
AP,Andhra Pradesh,Anantapur,Anantapur
AP,Andhra Pradesh,Chittoor,Chittoor
AP,Andhra Pradesh,East Godavari,East Godavari
AP,Andhra Pradesh,Guntur,Guntur
AP,Andhra Pradesh,Krishna,Krishna
AP,Andhra Pradesh,Kurnool,Kurnool
AP,Andhra Pradesh,Prakasam,Prakasam
AP,Andhra Pradesh,Sri Potti Sriramulu Nellore,S.P.S. Nellore
AP,Andhra Pradesh,Srikakulam,Srikakulam
AP,Andhra Pradesh,Visakhapatnam,Visakhapatnam
AP,Andhra Pradesh,Vizianagaram,Vizianagaram
AP,Andhra Pradesh,West Godavari,West Godavari
AP,Andhra Pradesh,YSR District Kadapa (Cuddapah),Y.S.R. Kadapa
AR,Arunachal Pradesh,Anjaw,Anjaw
AR,Arunachal Pradesh,Changlang,Changlang
AR,Arunachal Pradesh,Dibang Valley,Upper Dibang Valley
AR,Arunachal Pradesh,East Kameng,East Kameng
AR,Arunachal Pradesh,East Siang,East Siang
AR,Arunachal Pradesh,Itanagar Capital Complex,Papum Pare
AR,Arunachal Pradesh,Kamle,Kamle
AR,Arunachal Pradesh,Kra Daadi,Kra Daadi
AR,Arunachal Pradesh,Kurung Kumey,Kurung Kumey
AR,Arunachal Pradesh,Lepa Rada,Lepa Rada
AR,Arunachal Pradesh,Lohit,Lohit
AR,Arunachal Pradesh,Longding,Longding
AR,Arunachal Pradesh,Lower Dibang Valley,Lower Dibang Valley
AR,Arunachal Pradesh,Lower Siang,Lower Siang
AR,Arunachal Pradesh,Lower Subansiri,Lower Subansiri
AR,Arunachal Pradesh,Namsai,Namsai
AR,Arunachal Pradesh,Pakke Kessang,Pakke Kessang
AR,Arunachal Pradesh,Papum Pare,Papum Pare
AR,Arunachal Pradesh,Shi Yomi,Shi Yomi
AR,Arunachal Pradesh,Siang,Siang
AR,Arunachal Pradesh,Tawang,Tawang
AR,Arunachal Pradesh,Tirap,Tirap
AR,Arunachal Pradesh,Upper Siang,Upper Siang
AR,Arunachal Pradesh,Upper Subansiri,Upper Subansiri
AR,Arunachal Pradesh,West Kameng,West Kameng
AR,Arunachal Pradesh,West Siang,West Siang
AS,Assam,Baksa,Baksa
AS,Assam,Barpeta,Barpeta
AS,Assam,Biswanath,Biswanath
AS,Assam,Bongaigaon,Bongaigaon
AS,Assam,Cachar,Cachar
AS,Assam,Charaideo,Charaideo
AS,Assam,Chirang,Chirang
AS,Assam,Darrang,Darrang
AS,Assam,Dhemaji,Dhemaji
AS,Assam,Dhubri,Dhubri
AS,Assam,Dibrugarh,Dibrugarh
AS,Assam,Dima Hasao,Dima Hasao
AS,Assam,Goalpara,Goalpara
AS,Assam,Golaghat,Golaghat
AS,Assam,Hailakandi,Hailakandi
AS,Assam,Hojai,Hojai
AS,Assam,Jorhat,Jorhat
AS,Assam,Kamrup Metropolitan,Kamrup Metropolitan
AS,Assam,Kamrup Rural,Kamrup
AS,Assam,Karbi-Anglong,Karbi Anglong
AS,Assam,Karimganj,Karimganj
AS,Assam,Kokrajhar,Kokrajhar
AS,Assam,Lakhimpur,Lakhimpur
AS,Assam,Majuli,Majuli
AS,Assam,Morigaon,Morigaon
AS,Assam,Nagaon,Nagaon
AS,Assam,Nalbari,Nalbari
AS,Assam,Sivasagar,Sivasagar
AS,Assam,Sonitpur,Sonitpur
AS,Assam,South Salmara Mankachar,South Salmara Mankachar
AS,Assam,Tinsukia,Tinsukia
AS,Assam,Udalguri,Udalguri
AS,Assam,West Karbi Anglong,West Karbi Anglong
BR,Bihar,Araria,Araria
BR,Bihar,Arwal,Arwal
BR,Bihar,Aurangabad,Aurangabad
BR,Bihar,Banka,Banka
BR,Bihar,Begusarai,Begusarai
BR,Bihar,Bhagalpur,Bhagalpur
BR,Bihar,Bhojpur,Bhojpur
BR,Bihar,Buxar,Buxar
BR,Bihar,Darbhanga,Darbhanga
BR,Bihar,East Champaran,East Champaran
BR,Bihar,Gaya,Gaya
BR,Bihar,Gopalganj,Gopalganj
BR,Bihar,Jamui,Jamui
BR,Bihar,Jehanabad,Jehanabad
BR,Bihar,Kaimur,Kaimur
BR,Bihar,Katihar,Katihar
BR,Bihar,Khagaria,Khagaria
BR,Bihar,Kishanganj,Kishanganj
BR,Bihar,Lakhisarai,Lakhisarai
BR,Bihar,Madhepura,Madhepura
BR,Bihar,Madhubani,Madhubani
BR,Bihar,Munger,Munger
BR,Bihar,Muzaffarpur,Muzaffarpur
BR,Bihar,Nalanda,Nalanda
BR,Bihar,Nawada,Nawada
BR,Bihar,Patna,Patna
BR,Bihar,Purnia,Purnia
BR,Bihar,Rohtas,Rohtas
BR,Bihar,Saharsa,Saharsa
BR,Bihar,Samastipur,Samastipur
BR,Bihar,Saran,Saran
BR,Bihar,Sheikhpura,Sheikhpura
BR,Bihar,Sheohar,Sheohar
BR,Bihar,Sitamarhi,Sitamarhi
BR,Bihar,Siwan,Siwan
BR,Bihar,Supaul,Supaul
BR,Bihar,Vaishali,Vaishali
BR,Bihar,West Champaran,West Champaran
CH,Chandigarh,Chandigarh,Chandigarh
CT,Chhattisgarh,Balod,Balod
CT,Chhattisgarh,Baloda bazar,Baloda Bazar
CT,Chhattisgarh,Balrampur,Balrampur
CT,Chhattisgarh,Bastar,Bastar
CT,Chhattisgarh,Bemetara,Bametara
CT,Chhattisgarh,Bijapur,Bijapur
