Gurugram,24831,226735,938
Faridabad,12462,116768,721
Hisar,1525,56828,1140
Sonepat,2746,52838,258
Karnal,2767,45115,567
Panipat,1533,33781,639
Panchkula,2210,38738,384
Ambala,4160,36773,521
Sirsa,868,30870,511
Rohtak,1549,28660,534
Yamunanagar,1103,26870,424
Bhiwani,753,23584,654
Kurukshetra,765,24145,361
Mahindergarh,368,22321,156
Jind,588,22436,535
Rewari,858,22137,221
Jhajjar,778,21005,328
Fatehabad,409,18633,485
Kaithal,777,12365,350
Palwal,167,11300,153
Charkhi Dadri,277,5635,139
Nuh,126,5358,123
