Bokaro,252,22598,298,23148,19,60,0
Chatra,201,7519,53,7773,4,7,0
Deoghar,238,13538,120,13896,9,20,0
Dhanbad,109,19227,397,19733,24,20,0
Dumka,90,7490,47,7627,7,48,0
East Singhbhum,874,65818,1118,67810,214,349,0
Garhwa,52,7553,94,7699,2,24,0
Giridih,65,9186,130,9381,3,6,0
Godda,39,7239,88,7366,7,26,0
Gumla,58,10812,42,10912,6,0,0
Hazaribagh,103,22301,192,22596,2,26,0
Jamtara,37,6042,61,6140,0,31,0
Khunti,25,8926,99,9050,9,1,0
Koderma,79,14508,139,14726,20,34,0
Latehar,73,8448,58,8579,29,42,0
Lohardaga,55,7425,89,7569,1,11,0
Pakur,86,2907,12,3005,0,6,0
Palamu,57,13874,111,14042,12,15,0
Ramgarh,61,15750,201,16012,1,19,0
Ranchi,1360,109217,1605,112182,177,332,1
Sahebganj,43,5892,42,5977,1,8,0
Saraikela,181,7864,77,8122,2,53,2
Simdega,106,9958,93,10157,36,17,0
West Singhbhum,128,15405,137,15670,16,34,0
