Ludhiana,104414,7368,94869,2177
SAS Nagar,87653,8114,78434,1105
Jalandhar,74164,4610,68025,1529
Patiala,60806,2472,56917,1417
Amritsar,56111,3665,50815,1631
Bathinda,48115,2946,44107,1062
Hoshiarpur,37294,3415,32861,1018
Gurdaspur,25743,1352,23568,823
Pathankot,23174,1045,21679,450
Fazilka,21728,1173,20021,534
Kapurthala,20543,1075,18912,556
Muktsar,20433,1155,18751,527
Sangrur,17539,596,16054,889
Mansa,16779,828,15567,384
Ropar,16421,1491,14501,429
Ferozepur,16415,880,15021,514
Faridkot,15500,830,14345,325
SBS Nagar,12931,691,11848,392
FG Sahib,11190,531,10314,345
Tarn Taran,9818,1250,8184,384
Moga,9748,592,8919,237
Barnala,6926,393,6283,250
