AJMER,270,41121,1,412,195,38508,2201
ALWAR,568,67784,1,311,411,61304,6169
BANSWARA,9,10684,0,104,48,10059,521
BARAN,101,12564,0,62,26,11973,529
BARMER,239,18330,0,188,234,15801,2341
BHARATPUR,536,23721,0,260,363,20339,3122
BHILWARA,90,32082,0,156,95,30171,1755
BIKANER,358,44949,1,548,307,41258,3143
BUNDI,53,8282,0,48,6,7959,275
CHITTORGARH,380,22346,0,139,306,20661,1546
CHURU,252,17730,0,108,46,16759,863
DAUSA,85,14299,1,64,38,13486,749
DHOLPUR,115,11686,0,48,11,11029,609
DUNGARPUR,47,19450,0,131,108,18567,752
GANGANAGAR,84,20477,0,151,56,19403,923
HANUMANGARH,426,17973,0,111,21,16100,1762
JAIPUR,2358,221165,2,1990,2746,199489,19686
JAISALMER,117,14686,0,66,75,13778,842
JALORE,25,10119,0,73,0,9997,49
JHALAWAR,94,14451,0,190,64,13758,503
JHUNJHUNU,38,15404,0,161,20,14748,495
JODHPUR,801,121714,2,1108,591,115755,4851
KARAULI,17,7304,1,72,0,7093,139
KOTA,563,61588,0,450,446,58015,3123
NAGAUR,85,18551,0,179,40,17761,611
PALI,569,29782,0,287,41,27248,2247
PRATAPGARH,125,8137,0,63,22,7286,788
RAJSAMAND,31,17789,0,171,0,16949,669
SAWAI MADHOPUR,205,12210,0,61,45,10837,1312
SIKAR,204,32466,0,339,172,30691,1436
SIROHI,68,14777,0,80,102,13948,749
TONK,121,10194,0,92,18,9539,563
UDAIPUR,677,62454,0,757,403,57632,4065
Other State/ country,0,337,0,39,0,298,0
