Ariyalur,17466,16780,421,265
Chengalpattu,201478,181930,16985,2563
Chennai,660496,590057,61691,8748
Coimbatore,269050,254920,11594,2536
Cuddalore,67096,64156,2063,877
Dharmapuri,30319,29040,998,281
Dindigul,34134,32935,547,652
Erode,112283,108201,3366,716
Kallakurichi,32932,31739,983,210
Kancheepuram,83781,77385,5119,1277
Kanyakumari,68960,63306,4586,1068
Karur,25795,24802,625,368
Krishnagiri,46823,44382,2079,362
Madurai,81636,76270,4170,1196
Mayiladuthurai,24117,23285,511,321
Nagapattinam,22103,21227,514,362
Namakkal,56698,54553,1623,522
Nilgiris,36478,34682,1575,221
Perambalur,13015,12204,564,247
Pudukottai,30953,30092,440,421
Ramanathapuram,21806,20663,782,361
Ranipet,47187,43880,2526,781
Salem,106768,101848,3187,1733
Sivagangai,21391,20624,554,213
Tenkasi,28308,27163,659,486
Thanjavur,79797,76189,2597,1011
Theni,45233,43374,1335,524
Thirupathur,31047,29272,1147,628
Thiruvallur,133401,123664,7854,1883
Thiruvannamalai,58180,55329,2175,676
Thiruvarur,43025,41819,742,464
Thoothukudi,59897,57449,2026,422
Tirunelveli,53579,50332,2808,439
Tiruppur,103523,99057,3433,1033
Trichy,83887,79337,3440,1110
Vellore,54514,51183,2181,1150
Villupuram,47746,46316,1071,359
Virudhunagar,49618,46908,2160,550
Airport Surveillance (International),1202,1168,33,1
Airport Surveillance (Domestic),1104,1096,7,1
Railway Surveillance,428,428,0,0
