,,,15/01/2022,15/01/2022,15/01/2022,,,,16/01/2022,16/01/2022,16/01/2022
State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered)
AN,Andaman and Nicobar Islands,Nicobars,27145,162,29379,AN,Andaman and Nicobar Islands,Nicobars,27145.0,165.0,29379.0
AN,Andaman and Nicobar Islands,North and Middle Andaman,75868,692,83890,AN,Andaman and Nicobar Islands,North and Middle Andaman,75872.0,712.0,83926.0
AN,Andaman and Nicobar Islands,South Andaman,194905,1404,217581,AN,Andaman and Nicobar Islands,South Andaman,194924.0,1428.0,217635.0
AP,Andhra Pradesh,Anantapur,2750225,15146,2951935,AP,Andhra Pradesh,Anantapur,2750237.0,15146.0,2951945.0
AP,Andhra Pradesh,Chittoor,2953138,18828,3155263,AP,Andhra Pradesh,Chittoor,2953186.0,18837.0,3155310.0
AP,Andhra Pradesh,East Godavari,3345327,23534,3764782,AP,Andhra Pradesh,East Godavari,3345330.0,23540.0,3764783.0
AP,Andhra Pradesh,Guntur,3116471,18917,3485219,AP,Andhra Pradesh,Guntur,3129078.0,18991.0,3491678.0
AP,Andhra Pradesh,Krishna,3092036,21197,3386106,AP,Andhra Pradesh,Krishna,3099918.0,21603.0,3390865.0
AP,Andhra Pradesh,Kurnool,2483887,13579,2719560,AP,Andhra Pradesh,Kurnool,2483898.0,13585.0,2719572.0
AP,Andhra Pradesh,Prakasam,2397416,21279,2545740,AP,Andhra Pradesh,Prakasam,2401172.0,21367.0,2547720.0
AP,Andhra Pradesh,S.P.S. Nellore,2176474,36450,2292753,AP,Andhra Pradesh,S.P.S. Nellore,2182372.0,37345.0,2295815.0
AP,Andhra Pradesh,Srikakulam,1584393,21757,1815205,AP,Andhra Pradesh,Srikakulam,1584394.0,21757.0,1815206.0
AP,Andhra Pradesh,Visakhapatnam,2905846,15092,3226391,AP,Andhra Pradesh,Visakhapatnam,2907571.0,15171.0,3227232.0
AP,Andhra Pradesh,Vizianagaram,1468804,13531,1639083,AP,Andhra Pradesh,Vizianagaram,1469688.0,13668.0,1639565.0
AP,Andhra Pradesh,West Godavari,2585097,27473,2885842,AP,Andhra Pradesh,West Godavari,2585174.0,27481.0,2885891.0
AP,Andhra Pradesh,Y.S.R. Kadapa,1771210,13927,1997181,AP,Andhra Pradesh,Y.S.R. Kadapa,1771293.0,13928.0,1997240.0
AR,Arunachal Pradesh,Anjaw,9837,45,12576,AR,Arunachal Pradesh,Anjaw,9837.0,45.0,12576.0
AR,Arunachal Pradesh,Changlang,76209,366,97288,AR,Arunachal Pradesh,Changlang,76248.0,367.0,97322.0
AR,Arunachal Pradesh,Upper Dibang Valley,2881,0,4630,AR,Arunachal Pradesh,Upper Dibang Valley,2881.0,0.0,4630.0
AR,Arunachal Pradesh,East Kameng,19181,93,22962,AR,Arunachal Pradesh,East Kameng,19181.0,93.0,23064.0
AR,Arunachal Pradesh,East Siang,47544,314,56188,AR,Arunachal Pradesh,East Siang,47544.0,314.0,56188.0
AR,Arunachal Pradesh,Papum Pare,98586,283,125733,AR,Arunachal Pradesh,Papum Pare,98586.0,283.0,125734.0
AR,Arunachal Pradesh,Kamle,5061,25,7424,AR,Arunachal Pradesh,Kamle,5080.0,25.0,7446.0
AR,Arunachal Pradesh,Kra Daadi,4249,36,5764,AR,Arunachal Pradesh,Kra Daadi,4280.0,43.0,5783.0
