,,,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,,,,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022
State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered)
AN,Andaman and Nicobar Islands,Nicobars,53508,40,1,26408,27100,29029,24475,4,874,52634,AN,Andaman and Nicobar Islands,Nicobars,53732.0,538.0,4.0,26592.0,27105.0,29123.0,24570.0,4.0,1029.0,52703.0
AN,Andaman and Nicobar Islands,North and Middle Andaman,159039,2015,9,83325,75714,82690,76324,25,3532,155507,AN,Andaman and Nicobar Islands,North and Middle Andaman,159753.0,2720.0,10.0,83985.0,75744.0,83042.0,76662.0,25.0,4094.0,155659.0
AN,Andaman and Nicobar Islands,South Andaman,399243,3426,11,205775,193468,214903,184268,72,9267,389976,AN,Andaman and Nicobar Islands,South Andaman,400950.0,7538.0,22.0,206871.0,193856.0,215704.0,184951.0,72.0,10058.0,390892.0
AP,Andhra Pradesh,Anantapur,5978727,179801,174,3423765,2554962,2832685,3142842,3200,880252,5098475,AP,Andhra Pradesh,Anantapur,6002271.0,531842.0,260.0,3428782.0,2565665.0,2840938.0,3150301.0,3208.0,886955.0,5115316.0
AP,Andhra Pradesh,Chittoor,6495693,315540,145,3605141,2890552,3115861,3378768,1064,1024162,5454188,AP,Andhra Pradesh,Chittoor,6524368.0,547934.0,153.0,3609486.0,2906217.0,3126278.0,3388357.0,1068.0,1027974.0,5479047.0
AP,Andhra Pradesh,East Godavari,7764477,241968,206,4459358,3305119,3737863,4025236,1378,1178906,6579831,AP,Andhra Pradesh,East Godavari,7785465.0,695363.0,246.0,4461854.0,3312080.0,3742886.0,4029667.0,1380.0,1180974.0,6598748.0
AP,Andhra Pradesh,Guntur,7075770,400015,297,4218325,2857445,3346299,3728333,1138,1254732,5818640,AP,Andhra Pradesh,Guntur,7133144.0,337171.0,301.0,4221839.0,2904418.0,3371424.0,3753686.0,1147.0,1265857.0,5864889.0
AP,Andhra Pradesh,Krishna,6926530,52924,421,3920809,3005721,3335023,3590214,1293,1452946,5468185,AP,Andhra Pradesh,Krishna,6947731.0,103036.0,421.0,3922665.0,3016649.0,3341519.0,3596498.0,1297.0,1456764.0,5485567.0
AP,Andhra Pradesh,Kurnool,5585029,327258,135,3204387,2380642,2644911,2939240,878,855886,4726758,AP,Andhra Pradesh,Kurnool,5624688.0,666146.0,241.0,3221479.0,2396233.0,2662647.0,2954183.0,882.0,872720.0,4749583.0
